FAILED:
 - ASTResolving.java v1 -> v2 orig 114: expected 112, got 111
 - ASTResolving.java v1 -> v2 orig 117: expected 118, got None
 - ASTResolving.java v1 -> v2 orig 118: expected 119, got None
 - ASTResolving.java v1 -> v2 orig 119: expected 120, got None
 - ASTResolving.java v1 -> v2 orig 120: expected 121, got None
 - ASTResolving.java v1 -> v2 orig 121: expected 122, got None
 - ASTResolving.java v1 -> v2 orig 122: expected 123, got None
 - ASTResolving.java v1 -> v2 orig 124: expected 126, got 118
 - ASTResolving.java v1 -> v2 orig 125: expected 127, got 119
 - ASTResolving.java v1 -> v2 orig 126: expected 128, got 120
 - ASTResolving.java v1 -> v2 orig 127: expected 129, got 122
 - ASTResolving.java v1 -> v2 orig 128: expected 130, got 123
 - ASTResolving.java v1 -> v2 orig 130: expected 133, got 126
 - ASTResolving.java v1 -> v2 orig 131: expected 134, got 127
 - ASTResolving.java v1 -> v2 orig 132: expected 135, got 128
 - ASTResolving.java v1 -> v2 orig 133: expected 136, got 129
 - ASTResolving.java v1 -> v2 orig 134: expected 137, got 130
 - ArrayReference.java v1 -> v2 orig 168: expected None, got 167
 - ArrayReference.java v1 -> v2 orig 171: expected None, got 168
 - ArrayReference.java v1 -> v2 orig 175: expected None, got 175
 - ArrayReference.java v1 -> v2 orig 177: expected 167, got 176
 - BaseTypes.java v3 -> v4 orig 4: expected 9, got 4
 - BaseTypes.java v3 -> v4 orig 5: expected 10, got 5
 - BaseTypes.java v3 -> v4 orig 6: expected 11, got 6
 - BaseTypes.java v3 -> v4 orig 7: expected 12, got None
 - BaseTypes.java v3 -> v4 orig 8: expected 13, got 8
 - BaseTypes.java v3 -> v4 orig 9: expected 14, got 9
 - BaseTypes.java v3 -> v4 orig 10: expected 15, got 10
 - BaseTypes.java v3 -> v4 orig 11: expected 16, got 11
 - BaseTypes.java v3 -> v4 orig 12: expected 17, got 12
 - BaseTypes.java v3 -> v4 orig 13: expected 18, got 13
 - BaseTypes.java v4 -> v5 orig 4: expected 9, got 4
 - BaseTypes.java v4 -> v5 orig 5: expected 10, got 5
 - BaseTypes.java v4 -> v5 orig 6: expected 11, got 6
 - BaseTypes.java v4 -> v5 orig 7: expected 12, got None
 - BaseTypes.java v4 -> v5 orig 8: expected 13, got 8
 - BaseTypes.java v4 -> v5 orig 9: expected 14, got 9
 - BaseTypes.java v4 -> v5 orig 10: expected 15, got 10
 - BaseTypes.java v4 -> v5 orig 11: expected 16, got 11
 - BaseTypes.java v4 -> v5 orig 12: expected 17, got 12
